Address,USB0::0x2A8D::0x8601::MY59013886::0::INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,MY59013886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware Version,A.03.03-01.00-02.01-00.02-02.00-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2026-06-15 14:25:26.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,2026-06-16 12:06:50.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Log Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modules,4,Slot 0,SCD,Slot 1,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,
108,T_abs_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
109,Phi_abs_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
111,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
112,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
113,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
121,V_dot_III,DC Current,Auto,5.5,1,0,True,SCAL,25,-0.1,,Off,0,0,None,1,None,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,18022,13620,9519,13490,17997,,,,,,,,,,,,,,,,,,,,,,,,
SCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQM901A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,193,194,195,196,197,198,199
Odometer,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Date/Time:,5/14/2025 12:36:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Temperature:,30.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Date/Time:,5/14/2025 12:22:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Temperature:,31.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,102 (°C)- T_reg_in,103- Phi_reg_in,104 (°C)- T_RL_III,105 (°C)- T_VL_III,106 (°C)- T_abs_in,107- Phi_abs_in,108 (°C)- T_abs_out,109- Phi_abs_out,111 (Vdc),112 (Vdc),113 (Vdc),121- V_dot_III,,,,,,,,,,,,,,,,
2026-06-15 14:27:30.104,1,15.3036395,69.7959987,34.4108665,43.0918699,17.4400554,49.7581365,21.2001533,33.8261851,0.00550115669,0.641570616,0.538158084,0.0577090096,,,,,,,,,,,,,,,,
2026-06-15 14:27:50.126,2,15.3111222,70.9911074,34.4222996,43.0859927,17.4501713,49.8838572,21.1731522,33.88644,0.00447299107,0.641626038,0.537123138,0.0586805923,,,,,,,,,,,,,,,,
2026-06-15 14:28:10.137,3,15.3421903,71.7808513,34.4376131,43.0859333,17.4256034,49.6844819,21.17059,33.9549228,0.00347115061,0.641244115,0.536715281,0.0585645297,,,,,,,,,,,,,,,,
2026-06-15 14:28:30.105,4,15.3673544,72.8480744,34.4598032,43.0798836,17.4275152,49.3328255,21.1805078,33.9603492,0.00400610921,0.641307688,0.537306658,0.0584107557,,,,,,,,,,,,,,,,
2026-06-15 14:28:50.105,5,15.4021796,73.2607094,34.4669645,43.0774447,17.3777489,49.0871483,21.1265565,34.0133852,0.00741725031,0.641500569,0.53645768,0.0591240844,,,,,,,,,,,,,,,,
2026-06-15 14:29:10.105,6,15.4409768,73.0120347,34.4708093,43.0739946,17.3341301,49.0878035,21.1176557,34.1445037,0.00393250497,0.641580892,0.535934596,0.0600692705,,,,,,,,,,,,,,,,
2026-06-15 14:29:30.104,7,15.4654187,71.4301531,34.4742387,43.0708954,17.3106357,49.9447913,21.0815183,34.2240893,0.00625914821,0.641124294,0.533875582,0.0582092941,,,,,,,,,,,,,,,,
2026-06-15 14:29:50.105,8,15.4385647,70.6932068,34.481228,43.0696879,17.2507942,49.784902,21.0685789,34.3207166,0.0060041845,0.640785115,0.532249369,0.0578962116,,,,,,,,,,,,,,,,
2026-06-15 14:30:10.105,9,15.44267,70.4236987,34.4797981,43.0657797,17.2629143,49.477117,21.0217258,34.4366203,0.000193425732,0.640695583,0.530082018,0.0586933713,,,,,,,,,,,,,,,,
2026-06-15 14:30:30.105,10,15.4686353,69.5526116,34.464876,43.0625319,17.2559351,49.4566705,21.0013523,34.5034891,0.00569949857,0.640374103,0.527586638,0.0586048363,,,,,,,,,,,,,,,,
2026-06-15 14:30:50.105,11,15.4638092,69.2474446,34.4533656,43.0610329,17.2252265,49.5260551,20.9989575,34.623576,0.00813601612,0.639524973,0.526257633,0.0582993698,,,,,,,,,,,,,,,,
2026-06-15 14:31:10.145,12,15.4557848,68.9291776,34.4454745,43.0593851,17.2170676,49.5199903,20.975091,34.6799258,0.00491617938,0.638748498,0.525465854,0.058692448,,,,,,,,,,,,,,,,
2026-06-15 14:31:30.104,13,15.4242214,67.9102517,34.4400516,43.0603309,17.2234524,49.6418328,20.9643051,34.6955472,0.000231368975,0.638345741,0.52472604,0.0588409197,,,,,,,,,,,,,,,,
2026-06-15 14:31:50.105,14,15.3963319,67.1538289,34.4362603,43.0581062,17.2024322,49.7515402,20.9465943,34.6815524,0.00421718618,0.637656449,0.522218404,0.0584377342,,,,,,,,,,,,,,,,
2026-06-15 14:32:10.130,15,15.3637428,66.9312427,34.4220564,43.0563157,17.2037076,49.625803,20.9029164,34.7356463,0.00443581318,0.636677598,0.521518064,0.0591722309,,,,,,,,,,,,,,,,
2026-06-15 14:32:30.105,16,15.3364877,66.846529,34.4207214,43.0515986,17.1976611,49.5902793,20.8952583,34.7301034,0.00119226455,0.636102589,0.522013814,0.058394084,,,,,,,,,,,,,,,,
2026-06-15 14:32:50.104,17,15.2646603,66.5501991,34.4180456,43.0502959,17.2197516,49.6457501,20.8612552,34.8341447,0.00840647522,0.635328148,0.522419773,0.0585936663,,,,,,,,,,,,,,,,
2026-06-15 14:33:10.107,18,15.2082011,67.3073904,34.4174879,43.0500699,17.2162701,49.8145173,20.8810435,34.8991239,0.00769189009,0.634714821,0.522895813,0.0586780737,,,,,,,,,,,,,,,,
2026-06-15 14:33:30.112,19,15.1761061,67.9840097,34.4154647,43.045436,17.2464775,50.1861496,20.8084211,34.9500268,0.00107195121,0.634477697,0.524841987,0.0587071064,,,,,,,,,,,,,,,,
2026-06-15 14:33:50.136,20,15.1601641,68.4607052,34.4216173,43.0409152,17.2661708,50.0406103,20.8249533,35.0479329,0.00319058803,0.634179811,0.526807309,0.0577889971,,,,,,,,,,,,,,,,
2026-06-15 14:34:10.141,21,15.0880173,69.0838843,34.4216292,43.0394459,17.2269294,49.7522398,20.8104407,35.1233346,0.00884270877,0.634015589,0.528657227,0.0587596729,,,,,,,,,,,,,,,,
2026-06-15 14:34:30.109,22,15.0825893,68.7748705,34.4187813,43.0362754,17.2307028,49.6389991,20.7767244,35.1728586,0.00664357034,0.634035213,0.529002456,0.0583762131,,,,,,,,,,,,,,,,
2026-06-15 14:34:50.105,23,15.1186317,68.5545516,34.4135424,43.0295656,17.1780468,49.6379132,20.7365639,35.232215,0.00725494865,0.634374361,0.529353995,0.0592408463,,,,,,,,,,,,,,,,
2026-06-15 14:35:10.104,24,15.1226184,67.6199791,34.4006141,43.0245273,17.172919,49.6292703,20.739936,35.296196,0.00584895482,0.634101784,0.52980185,0.0586107313,,,,,,,,,,,,,,,,
2026-06-15 14:35:30.105,25,15.0844787,66.384878,34.3905398,43.0180435,17.176686,49.8498677,20.6941606,35.3849177,0.00629084457,0.634370562,0.528350246,0.0591940984,,,,,,,,,,,,,,,,
2026-06-15 14:35:50.179,26,15.1141276,66.4488929,34.3777006,43.0142604,17.1328246,50.0927657,20.6888992,35.4501511,0.00430779811,0.634268649,0.527097656,0.0583000856,,,,,,,,,,,,,,,,
2026-06-15 14:36:10.107,27,15.1925723,67.1066857,34.3606787,43.0111851,17.1298595,50.1436519,20.7259409,35.4824099,0.00671726422,0.633833744,0.526985509,0.0589329213,,,,,,,,,,,,,,,,
2026-06-15 14:36:30.132,28,15.1798374,67.5051356,34.3589878,43.0109888,17.1327331,50.2104149,20.7108399,35.5428059,-0.000450347616,0.63381057,0.528877872,0.0579906172,,,,,,,,,,,,,,,,
2026-06-15 14:36:50.105,29,15.1532854,67.938531,34.3586081,43.0068546,17.1018528,50.3947001,20.714383,35.5467915,0.00188618532,0.633496207,0.530216756,0.0580851292,,,,,,,,,,,,,,,,
2026-06-15 14:37:10.141,30,15.1279606,68.3455275,34.3563061,43.0044872,17.0815856,50.4668609,20.7120224,35.5334926,0.00754173284,0.633642256,0.53081791,0.0589669312,,,,,,,,,,,,,,,,
2026-06-15 14:37:30.105,31,15.1308262,67.9347187,34.3470506,42.99817,17.0579945,50.5245001,20.7077707,35.4882376,0.00791265225,0.633253562,0.530869655,0.0591240489,,,,,,,,,,,,,,,,
2026-06-15 14:37:50.105,32,15.0624335,68.3275959,34.3333454,42.9925488,17.0515975,50.6288777,20.6773061,35.4995744,0.00636864098,0.632742822,0.530255497,0.0593538248,,,,,,,,,,,,,,,,
2026-06-15 14:38:10.105,33,14.9992571,68.9760613,34.3269972,42.9868384,17.0395298,50.7127144,20.6839922,35.4756224,0.00103397809,0.632515704,0.532645578,0.0573611387,,,,,,,,,,,,,,,,
2026-06-15 14:38:30.110,34,14.9361832,69.0270729,34.315683,42.9790223,17.0039765,50.7306893,20.6785615,35.4040714,0.00243447197,0.632871097,0.532967743,0.0586552065,,,,,,,,,,,,,,,,
2026-06-15 14:38:50.154,35,14.920324,69.238111,34.3126098,42.9773449,17.0280744,50.7548998,20.6791949,35.4865536,0.00331991315,0.63250389,0.533134529,0.0582630544,,,,,,,,,,,,,,,,
2026-06-15 14:39:10.105,36,14.8913775,70.1401308,34.3088483,42.9748109,17.0243017,50.7131867,20.643953,35.4800722,0.00301495602,0.632337812,0.534143068,0.0586771012,,,,,,,,,,,,,,,,
2026-06-15 14:39:30.148,37,14.861391,70.1766035,34.311708,42.9694217,16.9852657,50.6892736,20.6372676,35.5752787,0.00672466257,0.632309595,0.53578661,0.0574808809,,,,,,,,,,,,,,,,
2026-06-15 14:39:50.105,38,14.7973796,70.3091426,34.3106282,42.9625693,17.0191911,50.5488531,20.6225651,35.6043785,0.00720279939,0.63242596,0.53577171,0.0582229937,,,,,,,,,,,,,,,,
2026-06-15 14:40:10.119,39,14.8181996,70.6771547,34.3065819,42.961802,17.0224051,50.423077,20.5894147,35.7313526,0.00348185627,0.632572544,0.535656545,0.0589718265,,,,,,,,,,,,,,,,
2026-06-15 14:40:30.122,40,14.7955883,70.6473431,34.2957306,42.9563712,16.9988648,50.4798672,20.5551641,35.7793622,0.00753293251,0.632410713,0.536673685,0.0581611667,,,,,,,,,,,,,,,,
2026-06-15 14:40:50.132,41,14.7674058,71.0165979,34.2904681,42.9532364,16.9879184,50.5847951,20.5693463,35.8735535,0.00327904182,0.632787403,0.537735515,0.0580409655,,,,,,,,,,,,,,,,
2026-06-15 14:41:10.104,42,14.7596284,71.3094187,34.2698692,42.9487812,17.0090781,50.5596273,20.5615887,35.9476251,0.00480185551,0.63293628,0.537744311,0.0591339186,,,,,,,,,,,,,,,,
2026-06-15 14:41:30.141,43,14.7327337,71.1969122,34.2477278,42.942934,16.9515276,50.4122291,20.5411587,35.9487483,0.00430552735,0.633400644,0.536636636,0.057790882,,,,,,,,,,,,,,,,
2026-06-15 14:41:50.107,44,14.6994295,71.4168618,34.2304575,42.9400491,16.9468059,50.3150384,20.4953444,35.9694626,0.00155988123,0.633122956,0.536201066,0.059091118,,,,,,,,,,,,,,,,
2026-06-15 14:42:10.105,45,14.6625751,70.9140807,34.2107903,42.9344637,16.9704878,50.3051537,20.5205736,36.0448235,0.00812518866,0.633312953,0.536220112,0.057858044,,,,,,,,,,,,,,,,
2026-06-15 14:42:30.106,46,14.6521508,70.857472,34.1969136,42.9332562,16.9484835,50.3061535,20.5321214,36.0310411,0.00126134106,0.633342193,0.534413148,0.0577838423,,,,,,,,,,,,,,,,
2026-06-15 14:42:50.105,47,14.6363363,71.2341985,34.1784214,42.922936,16.9579566,50.3073378,20.5256189,35.9734157,0.00315364686,0.632768464,0.533514285,0.0587340002,,,,,,,,,,,,,,,,
2026-06-15 14:43:10.105,48,14.6291915,71.7617555,34.1670425,42.91559,16.956176,50.2980582,20.5233357,35.9831558,0.00572829903,0.632573158,0.534107344,0.0595554312,,,,,,,,,,,,,,,,
2026-06-15 14:43:30.169,49,14.6170884,72.0202244,34.1492623,42.9124493,16.9337093,50.2461998,20.5119757,35.91953,0.00295436496,0.632555879,0.535237699,0.0586616287,,,,,,,,,,,,,,,,
2026-06-15 14:43:50.105,50,14.6062552,72.2973082,34.1045245,42.8949081,16.9395436,50.1529958,20.5217437,35.8990504,0.00218351656,0.632646167,0.536220397,-0.000116843328,,,,,,,,,,,,,,,,
2026-06-15 14:44:10.114,51,14.5532747,73.1156668,33.9992172,42.8195159,16.9372126,50.2302668,20.4861763,35.8692128,0.00586479956,0.632817398,0.536531866,-0.000114431219,,,,,,,,,,,,,,,,
2026-06-15 14:44:30.105,52,14.5305266,73.0468116,33.8981547,42.7111027,16.9388677,50.2557612,20.5020974,35.9346579,0.00192454226,0.632746554,0.536941783,-0.000114884685,,,,,,,,,,,,,,,,
2026-06-15 14:44:50.144,53,14.5324595,72.7909261,33.781678,42.582822,16.9016244,50.2657339,20.4804512,35.977983,0.00460349984,0.632683582,0.536505265,-0.000110519397,,,,,,,,,,,,,,,,
2026-06-15 14:45:10.132,54,14.5072341,72.6497946,33.6069557,42.4422411,16.9117911,50.2551827,20.4716853,36.0498017,0.00739710769,0.632631789,0.53549157,-0.000114794538,,,,,,,,,,,,,,,,
2026-06-15 14:45:30.115,55,14.4906026,72.7883184,33.3870932,42.2855792,16.901523,50.2216213,20.4345762,36.0870638,0.000803801949,0.63201672,0.533400062,-0.000116316106,,,,,,,,,,,,,,,,
2026-06-15 14:45:50.105,56,14.516344,72.8445984,33.1542624,42.1102814,16.892907,50.2941499,20.4494934,36.1675306,0.00216682374,0.631866546,0.532257084,-0.000114425756,,,,,,,,,,,,,,,,
2026-06-15 14:46:10.105,57,14.5087457,72.3705629,32.9226101,41.9344814,16.8802794,50.3087814,20.4338129,36.2254959,0.00861333474,0.631568366,0.531027583,-0.000116906157,,,,,,,,,,,,,,,,
2026-06-15 14:46:30.105,58,14.5030253,72.0927677,32.7008,41.7428561,16.886316,50.3361933,20.3843232,36.2785657,0.00715430218,0.631292631,0.528485786,-0.000116042934,,,,,,,,,,,,,,,,
2026-06-15 14:46:50.105,59,14.5323623,71.5572293,32.4898381,41.5520148,16.8587442,50.3842118,20.3605316,36.280816,0.00708566235,0.630737172,0.525935058,-0.000116471814,,,,,,,,,,,,,,,,
2026-06-15 14:47:10.105,60,14.5556241,71.0918675,32.2944244,41.360893,16.8392384,50.3926543,20.3734417,36.3263694,0.00284236471,0.630062783,0.522381221,-0.000113455995,,,,,,,,,,,,,,,,
2026-06-15 14:47:30.125,61,14.5206332,71.0749165,32.1094512,41.1717738,16.8697195,50.3505726,20.3521376,36.3273657,0.00330467747,0.62900865,0.519394903,-0.000121735837,,,,,,,,,,,,,,,,
2026-06-15 14:47:50.112,62,14.5044533,71.1537978,31.9398496,40.9951849,16.8561216,50.3094366,20.3279306,36.4078348,0.00230709354,0.628033991,0.517324901,-0.000115638639,,,,,,,,,,,,,,,,
2026-06-15 14:48:10.105,63,14.4798309,70.8721074,31.7812657,40.8158175,16.8466928,50.269576,20.3373202,36.3919194,0.00835623128,0.626924068,0.514272335,-0.00011567142,,,,,,,,,,,,,,,,
2026-06-15 14:48:30.149,64,14.4676573,70.612661,31.6401655,40.6352827,16.8409088,50.2747528,20.3143262,36.4182426,0.00280235066,0.625370118,0.511252195,-0.000113652679,,,,,,,,,,,,,,,,
2026-06-15 14:48:50.105,65,14.4593849,70.808739,31.5055328,40.4621994,16.8225926,50.3169867,20.2732851,36.4470603,0.00243334118,0.624238832,0.509695167,-0.000117679234,,,,,,,,,,,,,,,,
2026-06-15 14:49:10.104,66,14.4865315,71.2128506,31.3827017,40.2759363,16.8226565,50.3513182,20.2286168,36.5692672,0.00195064217,0.622900608,0.508934864,-0.000120495637,,,,,,,,,,,,,,,,
2026-06-15 14:49:30.151,67,14.4402199,71.1920786,31.2707817,40.0767334,16.8323482,50.33437,20.2303392,36.6297003,0.00436276054,0.621709746,0.508538931,-0.00011931007,,,,,,,,,,,,,,,,
2026-06-15 14:49:50.105,68,14.4292959,71.379549,31.1664999,39.8596487,16.8392632,50.3775094,20.1771542,36.7567976,0.00381906136,0.620813948,0.507594641,-0.00011573425,,,,,,,,,,,,,,,,
2026-06-15 14:50:10.152,69,14.4042931,70.9910387,31.0707862,39.6237229,16.8428158,50.3812638,20.1280119,36.9660027,0.0056611715,0.619715287,0.507037226,-0.000117335037,,,,,,,,,,,,,,,,
2026-06-15 14:50:30.105,70,14.4277562,71.0437055,30.98086,39.3641887,16.8020903,50.3381315,20.0757938,37.1588823,0.00677206806,0.618722072,0.505510032,-0.000114780879,,,,,,,,,,,,,,,,
2026-06-15 14:50:50.153,71,14.4031049,71.0235028,30.9008518,39.0774986,16.8138654,50.3169223,20.0348662,37.3439968,0.00802071316,0.61779313,0.504772814,-0.000113450532,,,,,,,,,,,,,,,,
2026-06-15 14:51:10.116,72,14.3601017,71.2740729,30.821142,38.7552593,16.7670619,50.3403011,19.9662685,37.5306867,0.000833351666,0.616640124,0.504139154,-0.000108708267,,,,,,,,,,,,,,,,
2026-06-15 14:51:30.104,73,14.3626522,71.2137189,30.7529138,38.416757,16.7997885,50.3019902,19.9126121,37.7713736,0.00919832355,0.615682448,0.503828783,-0.00011316097,,,,,,,,,,,,,,,,
2026-06-15 14:51:50.104,74,14.3167306,71.5417835,30.6857776,38.0470527,16.8106314,50.3672473,19.848737,38.0542975,0.00124323247,0.614768845,0.503570753,-0.000117468891,,,,,,,,,,,,,,,,
2026-06-15 14:52:10.120,75,14.2855917,72.1775638,30.6236386,37.6428844,16.7938293,50.3750079,19.7799535,38.2782667,0.00922773307,0.613821304,0.503395024,-0.000114264584,,,,,,,,,,,,,,,,
2026-06-15 14:52:30.117,76,14.2732172,72.0642922,30.5616312,37.2120197,16.8011068,50.3592918,19.7435785,38.4441224,0.00516371946,0.613064166,0.503340213,-0.000120102269,,,,,,,,,,,,,,,,
2026-06-15 14:52:50.105,77,14.2773175,72.1017441,30.5072164,36.7691756,16.7749696,50.3698902,19.6939667,38.6422484,0.00782611067,0.612220244,0.502613169,-0.000120648613,,,,,,,,,,,,,,,,
2026-06-15 14:53:10.105,78,14.225545,72.0271511,30.4522217,36.3064731,16.7958319,50.3820394,19.6490709,38.8327946,0.00582206428,0.611228669,0.502630991,-0.000115264394,,,,,,,,,,,,,,,,
2026-06-15 14:53:30.115,79,14.1671131,72.1543422,30.400102,35.8315241,16.7912182,50.3361721,19.5914606,39.0157407,0.00505763742,0.610694601,0.501810774,-0.000116316106,,,,,,,,,,,,,,,,
2026-06-15 14:53:50.119,80,14.1663505,72.5595464,30.348635,35.3375147,16.7609357,50.3666268,19.5628927,39.1767402,0.0052867977,0.609369312,0.501236451,-0.000113007993,,,,,,,,,,,,,,,,
2026-06-15 14:54:10.109,81,14.1341229,72.7866378,30.300268,34.8561877,16.7719464,50.3480375,19.484965,39.3484578,0.00843983788,0.608318725,0.501324981,-0.000119498559,,,,,,,,,,,,,,,,
2026-06-15 14:54:30.124,82,14.0962209,72.8055295,30.2531402,34.3663092,16.7667863,50.3737886,19.4409892,39.5116729,0.00190732542,0.607568031,0.50144318,-0.000121765886,,,,,,,,,,,,,,,,
2026-06-15 14:54:50.130,83,14.071539,73.1571823,30.2093906,33.8792489,16.7456639,50.3640188,19.4110538,39.7238073,0.00716876102,0.606769405,0.501922881,-0.000120763345,,,,,,,,,,,,,,,,
2026-06-15 14:55:10.122,84,14.0703076,73.2039044,30.1649069,33.3974315,16.7462325,50.3664539,19.3456135,39.9220836,0.00664766138,0.606181631,0.502180293,-0.000121741301,,,,,,,,,,,,,,,,
2026-06-15 14:55:30.105,85,14.0546506,73.4434304,30.1230369,32.9275206,16.7619752,50.379286,19.3084435,40.095874,0.00290461287,0.605650474,0.502556658,-0.000115461078,,,,,,,,,,,,,,,,
2026-06-15 14:55:50.118,86,14.0523598,73.4242844,30.0795024,32.4589741,16.751298,50.4111574,19.2581769,40.2904619,0.0038022904,0.604981171,0.502879995,-0.000116346155,,,,,,,,,,,,,,,,
2026-06-15 14:56:10.126,87,14.0176286,73.2492967,30.0385045,32.0092224,16.7397082,50.4275234,19.2163078,40.5327774,0.00608984352,0.604337334,0.502437668,-0.000117242159,,,,,,,,,,,,,,,,
2026-06-15 14:56:30.113,88,13.9972416,73.1987508,29.9981766,31.5620564,16.7332064,50.437598,19.1506161,40.7479107,0.00234029072,0.603529905,0.502451564,-0.00011818187,,,,,,,,,,,,,,,,
2026-06-15 14:56:50.167,89,13.9728585,73.0532776,29.958821,31.136395,16.6953414,50.4557087,19.1081427,40.9636011,0.00275726879,0.602913446,0.502103671,-0.000110554909,,,,,,,,,,,,,,,,
2026-06-15 14:57:10.105,90,13.9858669,72.898581,29.9220492,30.7185988,16.7132391,50.4318818,19.0498629,41.1759329,0.00898258096,0.602116049,0.502115013,-0.0001161003,,,,,,,,,,,,,,,,
2026-06-15 14:57:30.104,91,13.9700107,72.8256175,29.8831211,30.3155745,16.7253201,50.4291205,19.0104155,41.3595042,0.0051656018,0.601799859,0.502398766,-0.000116753181,,,,,,,,,,,,,,,,
2026-06-15 14:57:50.105,92,13.9585109,73.2137455,29.8439209,29.9266412,16.7286543,50.5037787,18.924525,41.5716326,0.00436450038,0.601204588,0.502071889,-0.000114739904,,,,,,,,,,,,,,,,
2026-06-15 14:58:10.105,93,13.9504311,73.1313965,29.8057343,29.5498331,16.6858201,50.485515,18.9232398,41.7392403,0.00283249105,0.600393122,0.50245528,-0.000118692702,,,,,,,,,,,,,,,,
2026-06-15 14:58:30.104,94,13.9671805,73.3230672,29.7686502,29.1869173,16.7049237,50.565461,18.8582642,41.9096527,0.00936945772,0.599876539,0.502687505,-0.000117130158,,,,,,,,,,,,,,,,
2026-06-15 14:58:50.119,95,13.918841,73.9154886,29.7292854,28.8449558,16.7048733,50.5355862,18.8363856,42.045412,0.00114758948,0.599503437,0.503347299,-0.000117979723,,,,,,,,,,,,,,,,
2026-06-15 14:59:10.105,96,13.9296272,73.8714957,29.6931738,28.5100356,16.6901302,50.5425642,18.8219943,42.21115,0.00338236126,0.59918035,0.504123095,-0.00011989739,,,,,,,,,,,,,,,,
2026-06-15 14:59:30.145,97,13.9409067,73.8695594,29.6517244,28.1948161,16.673153,50.5644396,18.7924264,42.3511,0.0028534358,0.598628157,0.503998691,-0.000119203533,,,,,,,,,,,,,,,,
